season,19,accessibility online,agencies,agencies appropriations,appropriations,appropriations public,authentication,bill,bills,business,care,cares,cares public,computing including,consolidated,consolidated appropriations,consumer,copyright office,covid,covid 19,critical,critical infrastructure,customs,cybersecurity,cybersecurity cloud,development,dues,education,employee,faa,fairness,financial,food,government,government procurement,health,health care,housing,housing urban,implementation,including implementation,information,infrastructure,infrastructure protection,infringement copyright,intelligence,international terminal,internet things,iot,it modernization,law,law issues,licensing,mobile,music,music licensing,net,net neutrality,neutrality rate,office,office modernization,organization,payments security,personal,personal data,policy,postal rates,procurement,protection payments,public law,rate,rate modernization,rates,reauthorization,reform postal,related agencies,related cybersecurity,related surface,safety,security authentication,services,small,small business,stem,surface,surface transportation,terminal,terminal dues,things,training,transportation,transportation housing,transportation including,uavs,urban,urban development,us,vehicles uavs,video net,world
2021 2nd Quarter - Report,4,0,2,2,9,6,2,0,1,0,2,5,5,1,6,6,1,1,4,4,1,1,2,3,1,2,1,2,2,1,0,2,2,3,3,3,2,2,2,12,7,0,5,1,0,1,1,2,1,3,23,11,2,0,1,1,0,0,0,1,1,2,1,0,0,2,1,3,1,21,0,0,1,2,1,2,2,1,4,1,1,1,0,1,3,3,1,1,2,2,6,2,1,0,2,2,3,0,0,2
2021 1st Quarter - Report,4,1,2,2,9,6,2,2,1,0,2,5,5,0,6,6,2,1,4,4,1,1,2,3,1,2,1,2,2,1,0,2,2,3,3,3,2,2,2,11,7,2,4,1,0,1,1,2,1,2,23,10,2,0,1,1,0,0,0,1,1,2,1,0,0,2,1,3,1,22,0,0,1,1,1,2,2,1,4,1,1,1,0,1,1,1,1,1,2,2,4,2,1,1,2,2,3,1,0,2
2020 4th Quarter - Report,5,1,3,3,12,6,2,1,1,0,3,5,5,1,6,6,4,1,5,5,1,1,2,3,1,5,1,3,2,1,1,3,3,4,3,5,2,3,3,11,5,2,1,1,0,4,1,2,1,2,23,9,2,0,1,1,0,0,0,1,1,2,1,2,2,2,1,3,1,22,0,0,1,1,1,3,2,1,4,1,3,2,0,1,1,1,1,1,2,2,5,3,1,1,3,3,3,1,0,2
2020 3rd Quarter - Report,5,1,3,3,10,4,2,2,0,0,3,5,5,1,3,3,4,1,5,5,2,1,2,4,1,7,1,3,2,1,1,3,3,4,3,5,2,3,3,8,5,2,1,1,0,5,1,3,3,2,15,6,2,0,1,1,1,1,1,2,1,2,1,2,2,2,1,3,1,14,1,1,1,1,1,3,2,1,4,1,3,1,0,1,1,1,1,1,3,2,5,3,1,1,3,3,3,1,1,2
2020 2nd Quarter - Report,5,1,2,2,8,4,2,2,0,0,3,4,4,1,3,3,4,1,5,5,2,1,2,4,1,5,1,3,2,1,1,2,2,3,3,5,2,2,2,6,5,2,1,1,0,5,1,3,3,2,14,5,2,0,1,1,1,1,1,2,1,2,1,2,2,2,1,3,1,13,1,1,1,1,1,2,2,1,3,1,2,1,0,1,1,1,1,1,3,2,4,2,1,1,2,2,3,1,1,2
2020 1st Quarter - Report,4,1,2,2,6,2,2,2,0,0,3,4,4,1,1,1,2,1,4,4,2,1,2,4,1,5,1,3,2,1,1,2,2,3,3,4,2,2,2,2,1,2,1,1,0,5,1,3,3,2,12,5,2,0,1,1,1,1,1,2,1,2,1,2,2,2,1,3,1,11,1,1,1,1,1,2,2,1,3,1,2,1,0,1,1,1,1,1,3,2,4,2,1,1,2,2,3,1,1,2
2019 4th Quarter - Report,0,1,2,2,6,2,2,2,0,0,3,0,0,1,1,1,2,1,0,0,2,1,2,4,1,5,1,3,2,1,1,2,2,3,3,4,2,2,2,2,1,2,1,1,1,5,1,3,3,2,6,2,2,0,1,1,1,1,1,2,1,2,1,2,2,2,1,3,1,5,1,1,1,1,1,2,2,1,2,1,2,1,0,1,1,1,1,1,3,2,4,2,1,1,2,2,3,1,1,2
2019 3rd Quarter - Report,0,1,2,2,6,2,2,2,0,0,3,0,0,1,1,1,1,1,0,0,2,1,2,4,1,5,1,3,2,1,1,2,2,3,3,4,2,2,2,2,1,2,1,1,1,5,1,3,3,2,6,2,2,0,1,1,1,1,1,2,1,2,1,2,2,2,1,3,1,5,1,1,1,1,1,2,2,1,2,1,2,1,0,1,1,1,1,1,3,2,4,2,1,1,2,2,3,1,1,2
2019 2nd Quarter - Report,0,1,2,2,6,2,2,1,0,0,2,0,0,1,1,1,1,1,0,0,2,1,2,3,1,5,1,3,2,1,1,2,2,3,3,3,2,2,2,2,1,1,1,1,1,5,1,2,1,2,6,2,2,0,1,1,1,1,1,2,1,2,1,1,1,2,1,3,1,5,1,1,1,1,1,2,2,1,2,1,2,1,0,1,1,1,1,1,2,2,4,2,1,1,2,2,3,1,1,2
2019 1st Quarter - Report,0,1,2,2,8,4,2,1,0,0,2,0,0,1,3,3,1,1,0,0,2,1,2,3,1,4,1,2,2,1,1,1,2,4,3,2,2,2,2,1,1,0,1,1,1,5,1,2,1,2,8,2,2,0,1,1,1,1,1,2,1,2,1,0,0,2,1,3,1,8,1,1,1,1,1,2,2,1,2,1,1,1,0,1,1,1,1,1,2,2,3,2,1,1,2,2,3,1,1,2
