season,actions,agreement,applications,applications issues,batteries,border,border protection,childrens,childrens online,communications,control,control regulations,customs,customs border,cyber,data security,devices,devices health,digital goods,digital textbooks,distribution,distribution video,diversity,diversity in,do,do not,electronic,energy,environmental,export,export control,fairness,foreign,foreign regulatory,funding issues,goods,goods services,green technology,health,health data,high,hr,hr hr,immigration,in workplace,information,infringement,ip,itc,litigation,location,marketplace,marketplace fairness,medical,medical applications,mobile devices,mobile medical,mobile payments,mobile workforce,not,not track,online,online privacy,partnership,payments,payments issues,policy,privacy health,privacy safety,programming,reform international,regulation,regulation mobile,regulations,regulatory,regulatory actions,related competition,related consumer,related customs,related digital,related distribution,related diversity,related foreign,related mobile,related privacy,related regulation,related spectrum,related student,safety battery,security,services,state,student,student privacy,textbooks,track,video programming,workforce,workplace,workplace issues
2021 2nd Quarter - Report,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0
2021 1st Quarter - Report,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,2,1,0,0,0,0,1,1,1,1,2,0,0,2,1,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,2,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1
2020 4th Quarter - Report,2,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,3,1,0,0,0,0,2,1,2,0,0,3,1,0,0,0,0,0,0,0,0,2,1,1,2,1,0,0,0,0,0,0,1,1,2,1,0,1,0,1,1,1,1,1,1,2,0,0,1,1,1,2,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1
2020 3rd Quarter - Report,2,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,3,1,0,0,0,0,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,2,1,1,2,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,2,0,0,1,1,1,2,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1
2020 2nd Quarter - Report,2,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,1,1,1,1,0,0,0,1,2,1,1,0,3,1,0,1,0,0,2,1,1,0,0,2,1,0,0,0,1,1,0,0,0,2,1,1,2,1,1,0,0,0,0,0,1,1,2,1,0,1,0,2,1,1,1,1,1,2,0,0,1,1,1,2,1,2,1,1,0,0,0,1,1,1,0,0,1,2,1,1
2020 1st Quarter - Report,2,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,1,1,1,1,0,0,0,1,2,1,1,0,3,1,0,1,0,0,2,1,1,0,0,2,1,0,0,0,1,1,0,0,0,2,1,1,2,1,1,0,0,0,0,0,1,1,2,1,0,1,0,2,1,1,1,1,1,2,0,0,1,1,1,2,1,2,1,1,0,0,0,1,1,1,0,0,1,2,1,1
2019 4th Quarter - Report,2,1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,1,1,1,1,0,0,0,1,2,1,1,0,3,1,0,1,0,0,2,1,1,0,0,2,1,0,0,0,1,1,0,0,0,2,1,1,2,1,1,0,0,0,0,0,1,1,2,1,0,1,0,2,1,1,1,1,1,2,0,0,1,1,1,2,1,2,1,1,0,0,0,1,1,1,0,0,1,2,1,1
2019 3rd Quarter - Report,2,1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,1,1,1,1,0,0,0,0,2,1,1,0,3,1,0,1,0,0,2,1,1,0,0,2,1,0,0,0,0,1,0,0,0,2,1,1,2,1,1,0,0,0,0,0,1,1,2,1,0,1,0,1,1,1,1,1,1,2,0,0,1,1,1,2,1,1,1,1,0,0,0,1,1,1,0,0,1,2,1,1
2019 2nd Quarter - Report,2,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,2,1,1,0,4,1,1,1,0,0,2,1,1,0,0,2,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,2,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,0,0,0,1,1,1,0,0,1,2,1,1
2019 1st Quarter - Report,2,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,2,1,1,0,4,1,1,1,0,0,2,1,1,0,0,2,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,2,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,0,0,0,1,1,1,0,0,1,2,1,1
