season,year,amazon_lobby,facebook_lobby,google_lobby,apple_lobby,microsoft_lobby,sum
2021 2nd Quarter - Report,2021,4860000,4770000,2090000,1640000,2470000,15830000
2021 1st Quarter - Report,2021,4800000,4790000,2690000,1460000,2590000,16330000
2020 4th Quarter - Report,2020,4740000,4690000,2110000,1450000,2190000,15180000
2020 3rd Quarter - Report,2020,4410000,4900000,1930000,1560000,1880000,14680000
2020 2nd Quarter - Report,2020,4380000,4830000,1690000,1480000,2910000,15290000
2020 1st Quarter - Report,2020,4330000,5260000,1800000,2160000,2394000,15944000
2019 4th Quarter - Report,2019,4210000,4430000,2740000,1890000,2390000,15660000
2019 3rd Quarter - Report,2019,4030000,4770000,2770000,1780000,2250000,15600000
2019 2nd Quarter - Report,2019,4010000,4110000,2940000,1810000,2740000,15610000
2019 1st Quarter - Report,2019,3890000,3400000,3360000,1930000,2790000,15370000
2018 4th Quarter - Report,2018,3710000,2830000,4900000,1530000,2340000,15310000
2018 3rd Quarter - Report,2018,3630000,2820000,5460000,1330000,2240000,15480000
2018 2nd Quarter - Report,2018,3470000,3670000,5830000,1620000,2640000,17230000
2018 1st Quarter - Report,2018,3380000,3300000,5020000,2140000,2300000,16140000
2017 4th Quarter - Report,2017,3320000,3070000,4420000,1660000,2180000,14650000
2017 3rd Quarter - Report,2017,3410000,2850000,4170000,1860000,1950000,14240000
2017 2nd Quarter - Report,2017,3210000,2380000,5930000,2230000,2070000,15820000
2017 1st Quarter - Report,2017,2900000,3210000,3520000,1400000,2300000,13330000
2016 4th Quarter - Report,2016,2660000,1700000,3580000,1350000,2400000,11690000
2016 3rd Quarter - Report,2016,2710000,2020000,3810000,1070000,2220000,11830000
2016 2nd Quarter - Report,2016,3000000,2190000,4240000,1120000,2070000,12620000
2016 1st Quarter - Report,2016,2650000,2782000,3800000,1130000,2020000,12382000
2015 4th Quarter - Report,2015,2990000,2130000,3290000,1070000,2470000,11950000
2015 3rd Quarter - Report,2015,2020000,2590000,3650000,980000,1890000,11130000
2015 2nd Quarter - Report,2015,2150000,2690000,4620000,1230000,2240000,12930000
2015 1st Quarter - Report,2015,1910000,2440000,5100000,1240000,1890000,12580000
2014 4th Quarter - Report,2014,1670000,1990000,3780000,1190000,2250000,10880000
2014 3rd Quarter - Report,2014,1180000,2450000,3940000,1010000,1660000,10240000
2014 2nd Quarter - Report,2014,1060000,2120000,5290000,840000,2340000,11650000
2014 1st Quarter - Report,2014,830000,2780000,3820000,1070000,2080000,10580000
2013 4th Quarter - Report,2013,960000,1480000,3980000,990000,2770000,10180000
2013 3rd Quarter - Report,2013,780000,1440000,3370000,970000,2230000,8790000
2013 2nd Quarter - Report,2013,860000,1060000,3360000,690000,2960000,8930000
2013 1st Quarter - Report,2013,856831,2450000,3350000,720000,2530000,9906831
2012 4th Quarter - Report,2012,610000,1400000,3350000,540000,2430000,8330000
2012 3rd Quarter - Report,2012,550000,840000,4180000,460000,1860000,7890000
2012 2nd Quarter - Report,2012,690000,960000,3920000,470000,2006000,8046000
2012 1st Quarter - Report,2012,650000,650000,5030000,500000,1790000,8620000
2011 4th Quarter - Report,2011,690000,440000,3760000,450000,1880000,7220000
2011 3rd Quarter - Report,2011,450000,360000,2380000,460000,1883000,5533000
2011 2nd Quarter - Report,2011,450000,320000,2060000,790000,1852000,5472000
2011 1st Quarter - Report,2011,630000,230000,1480000,560000,1720000,4620000
