season,year,amazon_issue_code,facebook_issue_code,google_issue_code,apple_issue_code,microsoft_issue_code,amazon_issues,facebook_issues,google_issues,apple_issues,microsoft_issues
2021 2nd Quarter - Report,2021,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ', ' BUD  ', ' HCR  ', ' CIV  ', ' CAW  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ', ' DIS  ', ' INT  ', ' ENV  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ', ' MAN  ', ' SCI  ', ' CIV  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ', ' LBR  ', ' DEF  ', ' TRA  ']",23,15,16,16,13
2021 1st Quarter - Report,2021,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ', ' BUD  ', ' HCR  ', ' CIV  ', ' CAW  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ', ' DIS  ', ' INT  ', ' ENV  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ', ' MAN  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ', ' LBR  ', ' DEF  ', ' TRA  ']",23,15,16,14,13
2020 4th Quarter - Report,2020,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ', ' BUD  ', ' HCR  ', ' CIV  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ', ' DIS  ', ' INT  ', ' ENV  ', ' LBR  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ', ' MAN  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ', ' LBR  ']",22,16,16,14,11
2020 3rd Quarter - Report,2020,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ', ' BUD  ', ' HCR  ', ' CIV  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ', ' DIS  ', ' INT  ', ' ENV  ', ' LBR  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ', ' SCI  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ', ' LBR  ']",22,16,16,14,11
2020 2nd Quarter - Report,2020,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ', ' BUD  ', ' HCR  ', ' CIV  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ', ' DIS  ', ' INT  ', ' TRA  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ', ' LBR  ']",22,15,16,13,11
2020 1st Quarter - Report,2020,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ', ' BUD  ', ' HCR  ', ' CIV  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ', ' DIS  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ', ' LBR  ']",22,13,16,13,11
2019 4th Quarter - Report,2019,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ', ' BUD  ', ' HCR  ', ' CIV  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ', ' LBR  ']",22,12,16,13,11
2019 3rd Quarter - Report,2019,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ', ' BUD  ', ' HCR  ', ' CIV  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ', ' TRA  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ', ' LBR  ']",22,12,16,13,11
2019 2nd Quarter - Report,2019,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ', ' BUD  ', ' HCR  ', ' CIV  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ', ' LBR  ']",22,11,15,13,11
2019 1st Quarter - Report,2019,"[' TEC  ', ' CPT  ', ' TAX  ', ' CSP  ', ' HOM  ', ' POS  ', ' CPI  ', ' IMM  ', ' TRD  ', ' DEF  ', ' INT  ', ' AVI  ', ' FIN  ', ' TRA  ', ' WEL  ', ' SMB  ', ' LBR  ', ' EDU  ', ' GOV  ', ' BUD  ', ' HCR  ', ' CIV  ']","[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ']","[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ']","[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']","[' CPI  ', ' CPT  ', ' CSP  ', ' EDU  ', ' IMM  ', ' SCI  ', ' TAX  ', ' TEC  ', ' TRD  ', ' ENV  ', ' LBR  ']",22,11,15,13,11
