season,year,apple_issue_code,apple_issues,TEC,CPT,TAX,CSP,HOM,POS,CPI,IMM,TRD,DEF,INT,AVI,FIN,TRA,WEL,SMB,LBR,EDU,GOV,BUD,HCR,CIV,CAW,MED,BEV,SCI,BAN,MIA,LAW,DIS,ENV,ADV,FOR,NAT,COM,ENG,MAN
2021 2nd Quarter - Report,2021,"[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ', ' MAN  ', ' SCI  ', ' CIV  ']",16,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1
2021 1st Quarter - Report,2021,"[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ', ' MAN  ']",14,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
2020 4th Quarter - Report,2020,"[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ', ' MAN  ']",14,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
2020 3rd Quarter - Report,2020,"[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ', ' SCI  ']",14,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
2020 2nd Quarter - Report,2020,"[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']",13,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2020 1st Quarter - Report,2020,"[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']",13,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2019 4th Quarter - Report,2019,"[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']",13,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2019 3rd Quarter - Report,2019,"[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']",13,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2019 2nd Quarter - Report,2019,"[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']",13,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2019 1st Quarter - Report,2019,"[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']",13,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2018 4th Quarter - Report,2018,"[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']",13,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2018 3rd Quarter - Report,2018,"[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']",13,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2018 2nd Quarter - Report,2018,"[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']",13,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2018 1st Quarter - Report,2018,"[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']",13,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2017 4th Quarter - Report,2017,"[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ', ' FOR  ']",14,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
2017 3rd Quarter - Report,2017,"[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']",13,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2017 2nd Quarter - Report,2017,"[' CPT  ', ' TAX  ', ' EDU  ', ' TEC  ', ' ENV  ', ' TRD  ', ' CSP  ', ' LAW  ', ' HCR  ', ' BAN  ', ' LBR  ', ' TRA  ', ' IMM  ']",13,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
