season,year,facebook_issue_code,facebook_issues,TEC,CPT,TAX,CSP,HOM,POS,CPI,IMM,TRD,DEF,INT,AVI,FIN,TRA,WEL,SMB,LBR,EDU,GOV,BUD,HCR,CIV,CAW,MED,BEV,SCI,BAN,MIA,LAW,DIS,ENV,ADV,FOR,NAT,COM
2021 2nd Quarter - Report,2021,"[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ', ' DIS  ', ' INT  ', ' ENV  ']",15,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0
2021 1st Quarter - Report,2021,"[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ', ' DIS  ', ' INT  ', ' ENV  ']",15,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0
2020 4th Quarter - Report,2020,"[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ', ' DIS  ', ' INT  ', ' ENV  ', ' LBR  ']",16,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0
2020 3rd Quarter - Report,2020,"[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ', ' DIS  ', ' INT  ', ' ENV  ', ' LBR  ']",16,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0
2020 2nd Quarter - Report,2020,"[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ', ' DIS  ', ' INT  ', ' TRA  ']",15,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0
2020 1st Quarter - Report,2020,"[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ', ' DIS  ']",13,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0
2019 4th Quarter - Report,2019,"[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ']",12,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
2019 3rd Quarter - Report,2019,"[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ', ' LAW  ']",12,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
2019 2nd Quarter - Report,2019,"[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ']",11,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2019 1st Quarter - Report,2019,"[' CPT  ', ' HOM  ', ' IMM  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ', ' TEC  ', ' SCI  ', ' CIV  ']",11,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2018 4th Quarter - Report,2018,"[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ', ' GOV  ']",10,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2018 3rd Quarter - Report,2018,"[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']",9,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2018 2nd Quarter - Report,2018,"[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']",9,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2018 1st Quarter - Report,2018,"[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']",9,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2017 4th Quarter - Report,2017,"[' CPT  ', ' HOM  ', ' IMM  ', ' INT  ', ' LAW  ', ' MIA  ', ' TAX  ', ' TRD  ', ' CPI  ']",9,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
