season,year,google_issue_code,google_issues,TEC,CPT,TAX,CSP,HOM,POS,CPI,IMM,TRD,DEF,INT,AVI,FIN,TRA,WEL,SMB,LBR,EDU,GOV,BUD,HCR,CIV,CAW,MED,BEV,SCI,BAN,MIA,LAW,DIS,ENV,ADV,FOR,NAT,COM,ENG
2021 2nd Quarter - Report,2021,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ', ' TRA  ']",16,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
2021 1st Quarter - Report,2021,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ', ' TRA  ']",16,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
2020 4th Quarter - Report,2020,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ', ' TRA  ']",16,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
2020 3rd Quarter - Report,2020,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ', ' TRA  ']",16,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
2020 2nd Quarter - Report,2020,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ', ' TRA  ']",16,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
2020 1st Quarter - Report,2020,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ', ' TRA  ']",16,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
2019 4th Quarter - Report,2019,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ', ' TRA  ']",16,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
2019 3rd Quarter - Report,2019,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ', ' TRA  ']",16,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
2019 2nd Quarter - Report,2019,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ']",15,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
2019 1st Quarter - Report,2019,"[' ADV  ', ' CPT  ', ' CSP  ', ' EDU  ', ' FOR  ', ' HCR  ', ' HOM  ', ' IMM  ', ' LBR  ', ' SCI  ', ' SMB  ', ' TEC  ', ' TRD  ', ' LAW  ', ' TAX  ']",15,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
