,2021 2nd Quarter - Report,2021 1st Quarter - Report,2020 4th Quarter - Report,2020 3rd Quarter - Report,2020 2nd Quarter - Report,2020 1st Quarter - Report,2019 4th Quarter - Report,2019 3rd Quarter - Report,2019 2nd Quarter - Report,2019 1st Quarter - Report,2018 4th Quarter - Report,2018 3rd Quarter - Report,2018 2nd Quarter - Report,2018 1st Quarter - Report,2017 4th Quarter - Report,2017 3rd Quarter - Report,2017 2nd Quarter - Report,2017 1st Quarter - Report,2016 4th Quarter - Report,2016 3rd Quarter - Report,2016 2nd Quarter - Report,2016 1st Quarter - Report,2015 4th Quarter - Report,2015 3rd Quarter - Report,2015 2nd Quarter - Report,2015 1st Quarter - Report,2014 4th Quarter - Report,2014 3rd Quarter - Report,2014 2nd Quarter - Report,2014 1st Quarter - Report,2013 4th Quarter - Report,2013 3rd Quarter - Report,2013 2nd Quarter - Report,2013 1st Quarter - Report,2012 4th Quarter - Report,2012 3rd Quarter - Report,2012 2nd Quarter - Report,2012 1st Quarter - Report,2011 4th Quarter - Report,2011 3rd Quarter - Report,2011 2nd Quarter - Report,2011 1st Quarter - Report
public 116,0.19238006561067023,0.20133925967463764,0.15249494194554275,0.08789658487186347,0.08242150278269897,0.06963487933229377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116 136,0.060118770503334445,0.0592174293160699,0.04485145351339493,0.04883143603992415,0.041210751391349484,0.04642325288819585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cares public,0.060118770503334445,0.0592174293160699,0.04485145351339493,0.04883143603992415,0.041210751391349484,0.04642325288819585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appropriations public,0.0562794867455547,0.05543570669188471,0.041987165778547796,0.03047532004138248,0.03214913741146181,0.018107744772920258,0.022922454866152898,0.023424414280013826,0.02418400312920663,0.042391770632565454,0.055894525873917765,0.016892126543900557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
authorization public,0.05475210681432272,0.06471747152586696,0.04084766792439351,0.017788946643919834,0.01876598143297456,0.021139578200970007,0.0,0.0,0.0,0.01237238763858746,0.016313278041184667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consolidated appropriations,0.05095867497845955,0.05019466812632399,0.03801758789750719,0.02069557691430095,0.021832254595648713,0.008197895306401559,0.01037765262957873,0.010604904050144835,0.010948791703725255,0.02878795525258949,0.0379575819955712,0.04588530045435937,0.03328274094061155,0.03237600250257945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01855041094341215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
implementation cares,0.050728450103149664,0.04996789493774543,0.037845829223699716,0.04120415380881822,0.04346723843831409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covid 19,0.048095016402667556,0.04737394345285592,0.04485145351339493,0.04883143603992415,0.05151343923918686,0.04642325288819585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public 115,0.035074994046641654,0.03454912606044351,0.02616760874839078,0.028489643318542337,0.030054399973737,0.03385580129647065,0.04285779852256187,0.043796305133279236,0.045216497955068116,0.06935189657781214,0.13063153261759106,0.03158297661674543,0.017181450570113846,0.016713367677515863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
government procurement,0.023970227300143088,0.023610849472672155,0.017882926188556168,0.019469803049356436,0.020539156693281546,0.023137031796091855,0.029288990635421282,0.029930365420878617,0.03090092423845226,0.0270828796550384,0.03570940055181021,0.04316756988250881,0.04696716697532667,0.045687616841580445,0.0469733625503137,0.04428103975109279,0.044984502349911394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development agencies,0.01944353385927447,0.01915202327536516,0.014505798234463234,0.015792998960060235,0.01666040891503685,0.018767684406886562,0.023757867374098164,0.024278120778514156,0.025065392963947202,0.021968372722783958,0.028965805373041734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
surface transportation,0.01877515381137447,0.0061645546774321885,0.004669051675139162,0.005083369219540841,0.005362566671335938,0.006040845660617956,0.007647060069898439,0.007814516557995333,0.008067919676994571,0.007071066741966952,0.009323364348019274,0.011270617143216395,0.012262653624495832,0.011928575989079796,0.0122642712266414,0.011561332896349457,0.011744999886347637,0.012906153688175754,0.012138356496436855,0.012138356496436855,0.012138356496436855,0.013505525278753436,0.02733876568603792,0.015131706723904279,0.015525882047883221,0.020586331475186667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
