,2021 2nd Quarter - Report,2021 1st Quarter - Report,2020 4th Quarter - Report,2020 3rd Quarter - Report,2020 2nd Quarter - Report,2020 1st Quarter - Report,2019 4th Quarter - Report,2019 3rd Quarter - Report,2019 2nd Quarter - Report,2019 1st Quarter - Report,2018 4th Quarter - Report,2018 3rd Quarter - Report,2018 2nd Quarter - Report,2018 1st Quarter - Report,2017 4th Quarter - Report,2017 3rd Quarter - Report,2017 2nd Quarter - Report,2017 1st Quarter - Report,2016 4th Quarter - Report,2016 3rd Quarter - Report,2016 2nd Quarter - Report,2016 1st Quarter - Report,2015 4th Quarter - Report,2015 3rd Quarter - Report,2015 2nd Quarter - Report,2015 1st Quarter - Report,2014 4th Quarter - Report,2014 3rd Quarter - Report,2014 2nd Quarter - Report,2014 1st Quarter - Report,2013 4th Quarter - Report,2013 3rd Quarter - Report,2013 2nd Quarter - Report,2013 1st Quarter - Report,2012 4th Quarter - Report,2012 3rd Quarter - Report,2012 2nd Quarter - Report,2012 1st Quarter - Report,2011 4th Quarter - Report,2011 3rd Quarter - Report,2011 2nd Quarter - Report,2011 1st Quarter - Report
data security,0.06637817126465513,0.03839010904534644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02333693502461891,0.024839246234320246,0.0,0.024839246234320246,0.024839246234320246,0.025432458532736017,0.047632661423835064,0.03954197482275789,0.04347170079944813,0.04506532512228137,0.05757959065996591,0.05757959065996591,0.05757959065996591,0.0
technologies immigration,0.06637817126465513,0.03839010904534644,0.024643786661876752,0.025372899771506273,0.0,0.0,0.0,0.02281294427005206,0.021235903539764442,0.021235903539764442,0.021235903539764442,0.02165492937316174,0.02094602534065096,0.020659384464588183,0.021093703360907504,0.02154823544738565,0.02378261080207776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deferred action,0.06233165694050402,0.036049789581914106,0.023141463927931417,0.023826129192948305,0.022867859227271498,0.022867859227271498,0.022371439161420547,0.021422232474200262,0.019941330546523445,0.019941330546523445,0.019941330546523445,0.020334811927509258,0.01966912376351896,0.01939995695142596,0.01980779910694749,0.020234622225798506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
action childhood,0.06233165694050402,0.036049789581914106,0.023141463927931417,0.023826129192948305,0.022867859227271498,0.022867859227271498,0.022371439161420547,0.021422232474200262,0.019941330546523445,0.019941330546523445,0.019941330546523445,0.020334811927509258,0.01966912376351896,0.01939995695142596,0.01980779910694749,0.020234622225798506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arrivals program,0.06233165694050402,0.036049789581914106,0.023141463927931417,0.023826129192948305,0.022867859227271498,0.022867859227271498,0.022371439161420547,0.021422232474200262,0.019941330546523445,0.019941330546523445,0.019941330546523445,0.020334811927509258,0.01966912376351896,0.01939995695142596,0.01980779910694749,0.020234622225798506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
childhood arrivals,0.06233165694050402,0.036049789581914106,0.023141463927931417,0.023826129192948305,0.022867859227271498,0.022867859227271498,0.022371439161420547,0.021422232474200262,0.019941330546523445,0.019941330546523445,0.019941330546523445,0.020334811927509258,0.01966912376351896,0.01939995695142596,0.01980779910694749,0.020234622225798506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate change,0.06048373002775382,0.03498103287565508,0.022455396268384352,0.023119763478904504,0.02218990303972151,0.02218990303972151,0.02170820018250486,0.02078713432562944,0.019350136228872914,0.019350136228872914,0.019350136228872914,0.019731952191846758,0.01908599947424305,0.018824812565468852,0.019220563553639228,0.019634732782524485,0.021670693598543907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development autonomous,0.06048373002775382,0.03498103287565508,0.022455396268384352,0.023119763478904504,0.02218990303972151,0.02218990303972151,0.02170820018250486,0.02078713432562944,0.019350136228872914,0.019350136228872914,0.019350136228872914,0.019731952191846758,0.01908599947424305,0.018824812565468852,0.019220563553639228,0.019634732782524485,0.021670693598543907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
autonomous vehicle,0.06048373002775382,0.03498103287565508,0.022455396268384352,0.023119763478904504,0.02218990303972151,0.02218990303972151,0.02170820018250486,0.02078713432562944,0.019350136228872914,0.019350136228872914,0.019350136228872914,0.019731952191846758,0.01908599947424305,0.018824812565468852,0.019220563553639228,0.019634732782524485,0.021670693598543907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vehicle technologies,0.06048373002775382,0.03498103287565508,0.022455396268384352,0.023119763478904504,0.02218990303972151,0.02218990303972151,0.02170820018250486,0.02078713432562944,0.019350136228872914,0.019350136228872914,0.019350136228872914,0.019731952191846758,0.01908599947424305,0.018824812565468852,0.019220563553639228,0.019634732782524485,0.021670693598543907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
