,2021 2nd Quarter - Report,2021 1st Quarter - Report,2020 4th Quarter - Report,2020 3rd Quarter - Report,2020 2nd Quarter - Report,2020 1st Quarter - Report,2019 4th Quarter - Report,2019 3rd Quarter - Report,2019 2nd Quarter - Report,2019 1st Quarter - Report,2018 4th Quarter - Report,2018 3rd Quarter - Report,2018 2nd Quarter - Report,2018 1st Quarter - Report,2017 4th Quarter - Report,2017 3rd Quarter - Report,2017 2nd Quarter - Report,2017 1st Quarter - Report,2016 4th Quarter - Report,2016 3rd Quarter - Report,2016 2nd Quarter - Report,2016 1st Quarter - Report,2015 4th Quarter - Report,2015 3rd Quarter - Report,2015 2nd Quarter - Report,2015 1st Quarter - Report,2014 4th Quarter - Report,2014 3rd Quarter - Report,2014 2nd Quarter - Report,2014 1st Quarter - Report,2013 4th Quarter - Report,2013 3rd Quarter - Report,2013 2nd Quarter - Report,2013 1st Quarter - Report,2012 4th Quarter - Report,2012 3rd Quarter - Report,2012 2nd Quarter - Report,2012 1st Quarter - Report,2011 4th Quarter - Report,2011 3rd Quarter - Report,2011 2nd Quarter - Report,2011 1st Quarter - Report
personal data,0.0660908979225411,0.06935176101179515,0.017897297926770164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015529046698824161,0.016056190421353624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016864964707893382,0.016667926681767847,0.01840309404900219,0.0,0.0,0.0,0.0,0.0,0.08509298454437389,0.12032300347646771,0.12032300347646771,0.12978696307503762,0.12978696307503762,0.1359718701000699,0.16505971630708535,0.0
election integrity,0.05043461636669213,0.052923013167165064,0.04097281395669419,0.044835413877965635,0.042055082511851416,0.04325631954014841,0.04325631954014841,0.05069436171657743,0.02600636899671586,0.027405121482115553,0.01777555315665918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
journalism competition,0.04701918223387935,0.024669532354332627,0.03819813344187422,0.04179915795000893,0.03920711072943701,0.0403269999406273,0.0403269999406273,0.02363066880941049,0.024245216702107202,0.0,0.01657179202284839,0.01713433242248347,0.017413933860533047,0.017413933860533047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
competition preservation,0.04701918223387935,0.024669532354332627,0.03819813344187422,0.04179915795000893,0.03920711072943701,0.0403269999406273,0.0403269999406273,0.02363066880941049,0.024245216702107202,0.0,0.01657179202284839,0.01713433242248347,0.017413933860533047,0.017413933860533047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
platform integrity,0.04271737130735188,0.0448250064544694,0.03470336513655035,0.03797492992548506,0.03562003053534685,0.03663746046467988,0.03663746046467988,0.04293737176251022,0.044054016896315225,0.04642346207466144,0.030111259253596787,0.01556670289487584,0.01582072344308153,0.01582072344308153,0.016391608205394554,0.01667350777635163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
honest ads,0.022030299307513698,0.02311725367059838,0.017897297926770164,0.01958451671618454,0.03674008535733162,0.03778950788412328,0.03778950788412328,0.04428751687926494,0.04543927438517538,0.023941612816886663,0.015529046698824161,0.016056190421353624,0.016318198524191495,0.016318198524191495,0.01690703448478302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
education science,0.02135868565367594,0.0224125032272347,0.017351682568275174,0.01898746496274253,0.017810015267673424,0.01831873023233994,0.01831873023233994,0.02146868588125511,0.022027008448157612,0.02321173103733072,0.015055629626798394,0.01556670289487584,0.01582072344308153,0.01582072344308153,0.016391608205394554,0.01667350777635163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
science technology,0.02135868565367594,0.0224125032272347,0.017351682568275174,0.01898746496274253,0.017810015267673424,0.01831873023233994,0.01831873023233994,0.02146868588125511,0.022027008448157612,0.02321173103733072,0.015055629626798394,0.01556670289487584,0.01582072344308153,0.01582072344308153,0.016391608205394554,0.01667350777635163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
content platform,0.02135868565367594,0.0224125032272347,0.017351682568275174,0.01898746496274253,0.017810015267673424,0.01831873023233994,0.01831873023233994,0.02146868588125511,0.022027008448157612,0.02321173103733072,0.015055629626798394,0.01556670289487584,0.01582072344308153,0.01582072344308153,0.016391608205394554,0.01667350777635163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consideration deferred,0.02135868565367594,0.0224125032272347,0.017351682568275174,0.01898746496274253,0.017810015267673424,0.01831873023233994,0.01831873023233994,0.02146868588125511,0.022027008448157612,0.02321173103733072,0.015055629626798394,0.01556670289487584,0.01582072344308153,0.01582072344308153,0.016391608205394554,0.01667350777635163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
