,2021 2nd Quarter - Report,2021 1st Quarter - Report,2020 4th Quarter - Report,2020 3rd Quarter - Report,2020 2nd Quarter - Report,2020 1st Quarter - Report,2019 4th Quarter - Report,2019 3rd Quarter - Report,2019 2nd Quarter - Report,2019 1st Quarter - Report,2018 4th Quarter - Report,2018 3rd Quarter - Report,2018 2nd Quarter - Report,2018 1st Quarter - Report,2017 4th Quarter - Report,2017 3rd Quarter - Report,2017 2nd Quarter - Report,2017 1st Quarter - Report,2016 4th Quarter - Report,2016 3rd Quarter - Report,2016 2nd Quarter - Report,2016 1st Quarter - Report,2015 4th Quarter - Report,2015 3rd Quarter - Report,2015 2nd Quarter - Report,2015 1st Quarter - Report,2014 4th Quarter - Report,2014 3rd Quarter - Report,2014 2nd Quarter - Report,2014 1st Quarter - Report,2013 4th Quarter - Report,2013 3rd Quarter - Report,2013 2nd Quarter - Report,2013 1st Quarter - Report,2012 4th Quarter - Report,2012 3rd Quarter - Report,2012 2nd Quarter - Report,2012 1st Quarter - Report,2011 4th Quarter - Report,2011 3rd Quarter - Report,2011 2nd Quarter - Report,2011 1st Quarter - Report
supply chain,0.045760565550770536,0.04513508495529971,0.04576056555077055,0.015733504561476028,0.015733504561476028,0.015733504561476028,0.015371469044509922,0.015639936113296237,0.01546857995065838,0.01546857995065838,0.015297766929712131,0.015297766929712131,0.015484189888814176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intermediary liability,0.04034137771635755,0.0397899695627991,0.040341377716357554,0.04161080021699063,0.04161080021699063,0.04161080021699063,0.0406533156648955,0.02757555823938284,0.027273431567747638,0.027273431567747638,0.026972262536555512,0.026972262536555512,0.027300954235078893,0.02708547178506822,0.02597741625588522,0.02563428734523565,0.0,0.0,0.0,0.0,0.0,0.0,0.024052001948360196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abroad mutual,0.013857968719684106,0.013668550376128295,0.01385796871968411,0.014294037547811993,0.014294037547811993,0.014294037547811993,0.013965124860054804,0.01420902972858478,0.014053351035816493,0.014053351035816493,0.013898165792406755,0.013898165792406755,0.01406753281211726,0.01395649982734101,0.013385545150071843,0.013208738978104907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
content generated,0.013857968719684106,0.013668550376128295,0.01385796871968411,0.014294037547811993,0.014294037547811993,0.014294037547811993,0.013965124860054804,0.01420902972858478,0.014053351035816493,0.014053351035816493,0.013898165792406755,0.013898165792406755,0.01406753281211726,0.01395649982734101,0.013385545150071843,0.013208738978104907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
safe harbor,0.013857968719684106,0.013668550376128295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04421818472664613,0.03860141321161704,0.03993687257617228,0.044600462394024466,0.049573699687158586,0.028343239369230663,0.029689580748648223,0.029689580748648223,0.037180163842694854,0.037180163842694854,0.04044144402924501,0.041598561853037445,0.05252295981611343,0.05252295981611343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
liability copyright,0.013857968719684106,0.013668550376128295,0.01385796871968411,0.014294037547811993,0.014294037547811993,0.014294037547811993,0.013965124860054804,0.01420902972858478,0.014053351035816493,0.014053351035816493,0.013898165792406755,0.013898165792406755,0.01406753281211726,0.01395649982734101,0.013385545150071843,0.013208738978104907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
innovation daca,0.013857968719684106,0.013668550376128295,0.01385796871968411,0.014294037547811993,0.014294037547811993,0.014294037547811993,0.013965124860054804,0.01420902972858478,0.014053351035816493,0.014053351035816493,0.013898165792406755,0.013898165792406755,0.01406753281211726,0.01395649982734101,0.013385545150071843,0.013208738978104907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generated users,0.013857968719684106,0.013668550376128295,0.01385796871968411,0.014294037547811993,0.014294037547811993,0.014294037547811993,0.013965124860054804,0.01420902972858478,0.014053351035816493,0.014053351035816493,0.013898165792406755,0.013898165792406755,0.01406753281211726,0.01395649982734101,0.013385545150071843,0.013208738978104907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efforts internet,0.013857968719684106,0.013668550376128295,0.01385796871968411,0.014294037547811993,0.014294037547811993,0.014294037547811993,0.013965124860054804,0.01420902972858478,0.014053351035816493,0.014053351035816493,0.013898165792406755,0.013898165792406755,0.01406753281211726,0.01395649982734101,0.013385545150071843,0.013208738978104907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
copyright infringing,0.013857968719684106,0.013668550376128295,0.01385796871968411,0.014294037547811993,0.014294037547811993,0.014294037547811993,0.013965124860054804,0.01420902972858478,0.014053351035816493,0.014053351035816493,0.013898165792406755,0.013898165792406755,0.01406753281211726,0.01395649982734101,0.013385545150071843,0.013208738978104907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
