,2021 2nd Quarter - Report,2021 1st Quarter - Report,2020 4th Quarter - Report,2020 3rd Quarter - Report,2020 2nd Quarter - Report,2020 1st Quarter - Report,2019 4th Quarter - Report,2019 3rd Quarter - Report,2019 2nd Quarter - Report,2019 1st Quarter - Report,2018 4th Quarter - Report,2018 3rd Quarter - Report,2018 2nd Quarter - Report,2018 1st Quarter - Report,2017 4th Quarter - Report,2017 3rd Quarter - Report,2017 2nd Quarter - Report,2017 1st Quarter - Report,2016 4th Quarter - Report,2016 3rd Quarter - Report,2016 2nd Quarter - Report,2016 1st Quarter - Report,2015 4th Quarter - Report,2015 3rd Quarter - Report,2015 2nd Quarter - Report,2015 1st Quarter - Report,2014 4th Quarter - Report,2014 3rd Quarter - Report,2014 2nd Quarter - Report,2014 1st Quarter - Report,2013 4th Quarter - Report,2013 3rd Quarter - Report,2013 2nd Quarter - Report,2013 1st Quarter - Report,2012 4th Quarter - Report,2012 3rd Quarter - Report,2012 2nd Quarter - Report,2012 1st Quarter - Report,2011 4th Quarter - Report,2011 3rd Quarter - Report,2011 2nd Quarter - Report,2011 1st Quarter - Report
expanding access,0.09574031608440377,0.09973430855715663,0.067896875427013,0.067896875427013,0.07009709874533226,0.07313707143374726,0.07313707143374726,0.07085938537778486,0.0657659982458228,0.07132928374155692,0.09427983924097043,0.05809413011704286,0.06189082133236594,0.049163503860121846,0.022042425345345312,0.03446133359143274,0.031088868124506827,0.027537219051034144,0.0213086747858908,0.020815314529736804,0.020600907346726767,0.020789134237396714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
computer science,0.09574031608440377,0.09973430855715663,0.067896875427013,0.067896875427013,0.07009709874533226,0.07313707143374726,0.07313707143374726,0.07085938537778486,0.09864899736873421,0.1069939256123354,0.14141975886145566,0.11618826023408572,0.12378164266473188,0.09832700772024369,0.044084850690690625,0.03446133359143274,0.031088868124506827,0.027537219051034144,0.0319630121788362,0.03122297179460521,0.03090136102009015,0.031183701356095075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
access computer,0.09574031608440377,0.09973430855715663,0.067896875427013,0.067896875427013,0.07009709874533226,0.07313707143374726,0.07313707143374726,0.07085938537778486,0.0657659982458228,0.07132928374155692,0.09427983924097043,0.05809413011704286,0.06189082133236594,0.049163503860121846,0.022042425345345312,0.03446133359143274,0.031088868124506827,0.027537219051034144,0.0213086747858908,0.020815314529736804,0.020600907346726767,0.020789134237396714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
science education,0.09574031608440377,0.09973430855715663,0.067896875427013,0.067896875427013,0.07009709874533226,0.07313707143374726,0.07313707143374726,0.07085938537778486,0.0657659982458228,0.07132928374155692,0.09427983924097043,0.05809413011704286,0.06189082133236594,0.049163503860121846,0.022042425345345312,0.03446133359143274,0.031088868124506827,0.027537219051034144,0.0213086747858908,0.020815314529736804,0.020600907346726767,0.020789134237396714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
facial recognition,0.056771050332614835,0.05913936450758416,0.12078225004697316,0.12078225004697316,0.12469624345714252,0.08673604879024814,0.08673604879024814,0.08403485382843204,0.11699161698912985,0.04229606213030826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013005014792228608,0.013294614255978934,0.014080453520133792,0.013881528994841578,0.013881528994841578,0.013863330358456483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
digital trade,0.05054889187758955,0.05265763667729446,0.0716962708115676,0.0716962708115676,0.07401961494020452,0.077229699406649,0.077229699406649,0.07482455785536281,0.06944615331370083,0.07532075094423522,0.09955558107468342,0.1226899605980053,0.06535412799320427,0.05191461116041984,0.023275882534572235,0.018194866038829062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012261945606035416,0.012261945606035416,0.012511076890683573,0.012770654570845147,0.0,0.0,0.0,0.0
high skilled,0.04541492256676696,0.04730949390620574,0.09662172007009477,0.09662172007009477,0.09975278258537748,0.10407886369402163,0.10407886369402163,0.10083756660748147,0.09358934166961837,0.101506262889604,0.04472213769339546,0.055114512438485155,0.05871647333867296,0.04664193335125413,0.020911880828972364,0.016346914869413025,0.014747168134667433,0.013062424713579364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02203313621847735,0.02203313621847735,0.022480793034719896,0.02294722067761053,0.023510065353535354,0.012195895797787732,0.0,0.0
copyright office,0.044260038563794755,0.046106431683196045,0.03138822230450419,0.03138822230450419,0.03240536923800627,0.03381072608165313,0.03381072608165313,0.03275776869863969,0.030403133576250536,0.032974999229644836,0.043584870943135325,0.053712971597955426,0.05722333601866355,0.045455846936246644,0.020380099747414074,0.015931219115382422,0.014372153324440017,0.01273025228017791,0.00985084242813069,0.009622765638160946,0.009523646786495437,0.00961066268304262,0.010602542212999305,0.010272609118408523,0.01013901368486884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
office modernization,0.044260038563794755,0.046106431683196045,0.03138822230450419,0.03138822230450419,0.03240536923800627,0.03381072608165313,0.03381072608165313,0.03275776869863969,0.030403133576250536,0.032974999229644836,0.043584870943135325,0.053712971597955426,0.05722333601866355,0.045455846936246644,0.020380099747414074,0.015931219115382422,0.014372153324440017,0.01273025228017791,0.00985084242813069,0.009622765638160946,0.009523646786495437,0.00961066268304262,0.010602542212999305,0.010272609118408523,0.01013901368486884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
youth youth,0.04314874563844754,0.044948779023931226,0.030600118395919834,0.030600118395919834,0.03159172653126632,0.03296179729815837,0.03296179729815837,0.031935277851676505,0.02963976353980164,0.03214705410021582,0.042490530307587426,0.05236433189331198,0.055786557142146115,0.04431452933339127,0.01986839073399947,0.015531213790724547,0.014011293442033121,0.012410617689791008,0.009603504832992516,0.009381154656269255,0.009284524507329698,0.009369355585395842,0.010336330737945609,0.010014681692030658,0.009884440608486339,0.01010455021585104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
youth spark,0.04314874563844754,0.044948779023931226,0.030600118395919834,0.030600118395919834,0.03159172653126632,0.03296179729815837,0.03296179729815837,0.031935277851676505,0.02963976353980164,0.03214705410021582,0.042490530307587426,0.05236433189331198,0.055786557142146115,0.04431452933339127,0.01986839073399947,0.015531213790724547,0.014011293442033121,0.012410617689791008,0.009603504832992516,0.009381154656269255,0.009284524507329698,0.009369355585395842,0.010336330737945609,0.010014681692030658,0.009884440608486339,0.01010455021585104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
america invents,0.04314874563844754,0.044948779023931226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009603504832992516,0.009381154656269255,0.009284524507329698,0.009369355585395842,0.010336330737945609,0.010014681692030658,0.009884440608486339,0.01010455021585104,0.021403652173234426,0.021101267641231096,0.021101267641231096,0.021073603952511358,0.021612922585721287,0.021612922585721287,0.011042153022685967,0.011175473060454195,0.01046684808182449,0.01046684808182449,0.010679507588938805,0.01090108418297836,0.011168463717972947,0.011587328038225837,0.012225734677208966,0.012544283484861184
