season,abroad,access data,access electronic,activity,advertising intellectual,allocation white,amendments,anti,antitrust,breach issues,broadband infrastructure,businesses small,by,cloud,cloud computing,communications transactional,computing,congressional,content,controversial,cyber,data breach,data policy,data stored,devices workplace,digital privacy,do,do not,email,email privacy,encryption,encryption standards,enforcement access,exceptions,fcc,fcc nprm,federal,government,government access,harbor,health data,in video,infrastructure,infrastructure deployment,intermediary,intermediary liability,internet freedom,issues international,it health,liability,licensing,music,not,not track,nprm,online controversial,online terrorist,open internet,pacific,pacific partnership,partnership,policies online,power,privacy amendments,programming,programming promoting,promoting,promoting broadband,quantum,records,reform spectrum,reporting,reporting online,rules international,safe,safe harbor,service,sharing,stored,stored abroad,student,student digital,technologies,technology encryption,terrorist,terrorist activity,track,trade agreement,trafficking,trans,trans pacific,transactional,transactional records,us,use,venue,video competition,video programming,workplace,workplace policies
2021 2nd Quarter - Report,1,1,1,1,1,0,0,1,3,1,1,0,3,2,1,1,2,0,5,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,3,3,1,0,1,3,2,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,2,1,1,1,1
2021 1st Quarter - Report,1,1,1,1,1,0,0,1,1,1,1,0,2,2,1,1,2,0,5,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,3,3,1,0,1,3,2,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1
2020 4th Quarter - Report,1,1,1,1,1,0,0,1,1,1,1,0,2,2,1,1,2,0,3,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,3,3,1,0,1,3,2,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1
2020 3rd Quarter - Report,1,1,1,1,1,0,0,1,1,1,1,0,2,2,1,1,2,0,3,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,3,3,1,0,1,3,2,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1
2020 2nd Quarter - Report,1,1,1,1,1,0,0,1,1,1,1,0,2,2,1,1,2,0,3,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,3,3,1,0,1,3,2,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1
2020 1st Quarter - Report,1,1,1,1,1,0,0,1,1,1,1,0,2,2,1,1,2,0,3,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,3,3,1,0,1,3,2,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1
2019 4th Quarter - Report,1,1,1,1,1,0,0,1,1,1,1,0,1,2,1,1,2,0,3,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,3,3,2,0,1,3,2,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1
2019 3rd Quarter - Report,1,1,1,1,1,1,0,1,1,1,1,0,1,2,1,1,2,0,3,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,2,2,2,0,1,2,2,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1
2019 2nd Quarter - Report,1,1,1,1,1,1,0,1,1,1,1,0,1,2,1,1,2,0,3,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,2,2,2,0,1,2,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1
2019 1st Quarter - Report,1,1,1,1,1,1,0,1,1,1,1,0,1,2,1,1,2,0,3,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,2,2,2,0,1,2,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1
