season,12 computer,20,access 12,administration,advertising,america invents,american,application,aspects intellectual,bill,china interoperability,commercial,commission,communications privacy,competition in,competitiveness interpretation,computer,computer science,counterfeiting,cybersecurity,data issues,digital,digital trade,do,do not,expanding,expanding access,fairness high,family,hhs,hhs rulemaking,high skilled,human rights,immigrants,immigration innovation,implementation,implementation private,in china,indigenous,indigenous innovation,information sharing,innovation policy,internal,internet human,interoperability innovation,interpretation,interpretation application,invents,ip,ip rights,issues hhs,law enforcement,market,market access,not,not track,online advertising,piracy,proceedings related,property rights,provisions,public,recovery implementation,regarding,related it,related recovery,rights market,rights outside,rulemaking,rulemaking proceedings,safe,science education,section,sharing,skilled,skilled immigrants,smart,software patents,software piracy,spaces,spark,states asia,stem youth,student privacy,tax reform,threats,threats ip,track,trade related,trademark,united,united states,use,visa,visas,visas visas,white,wto agreement,xbox,youth
2021 2nd Quarter - Report,2,0,2,0,0,1,4,0,0,0,0,1,0,0,0,0,2,2,0,2,0,3,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,1,2,0,0,1,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2
2021 1st Quarter - Report,2,0,2,0,0,1,5,0,0,0,0,1,0,0,0,0,2,2,0,2,0,3,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,1,2,0,0,1,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2020 4th Quarter - Report,2,0,2,0,0,0,5,0,0,1,0,2,2,0,0,0,2,2,0,2,1,6,2,0,0,2,2,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,1,2,0,0,3,2,2,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2
2020 3rd Quarter - Report,2,0,2,0,0,0,4,0,0,1,0,2,2,0,0,0,2,2,0,2,1,6,2,0,0,2,2,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,1,2,0,0,3,2,2,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2
2020 2nd Quarter - Report,2,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,2,2,0,2,0,4,2,0,0,2,2,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,3,2,2,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
2020 1st Quarter - Report,2,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,2,2,0,2,0,4,2,0,0,2,2,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,3,2,2,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2
2019 4th Quarter - Report,2,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,2,2,0,2,0,3,2,0,0,2,2,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,3,2,2,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
2019 3rd Quarter - Report,2,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,2,2,0,2,0,3,2,0,0,2,2,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,3,2,2,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
2019 2nd Quarter - Report,2,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,2,0,3,2,0,0,2,2,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,1,0,3,2,2,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
2019 1st Quarter - Report,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,3,3,0,2,0,2,2,0,0,2,2,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,1,0,3,2,2,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
